sample_id,text_prompt,category,style,quality_level,color_palette,aspect_ratio,prompt_length,word_count,complexity_score,text_sentiment,text_clarity,text_specificity,image_width,image_height,image_channels,color_depth,noise_level,sharpness_score,brightness,contrast,saturation,hue_variance,edge_density,texture_score,composition_score,aesthetic_score,clip_score,fid_score,inception_score,ssim_score,psnr_score,generation_time_img,gpu_memory_img,inference_steps,guidance_scale,seed_value,video_fps,video_duration,total_frames,video_width,video_height,video_bitrate,compression_ratio,motion_score,temporal_consistency,scene_coherence,transition_type,video_quality_score,optical_flow_score,video_sentiment,generation_time_vid,gpu_memory_vid,model_version,batch_size,learning_rate,epoch_trained,training_loss,validation_loss,perceptual_loss,adversarial_loss,user_rating,expert_rating,human_preference_score,prompt_adherence,creative_score,technical_quality,dataset_split,overall_quality_score,quality_label,quality_class
1,An amazing mountain landscape under stars,technology,cartoon,ultra,cool,16:9,161,36,0.6619,0.2797,0.5412,0.399,1024,256,3,8,0.1364,0.5176,0.8225,0.5692,0.158,0.8889,0.4416,0.9492,0.9069,0.3321,0.6007,145.4007,3.5507,0.8366,23.4314,29.9806,20.109,71,3.0855,241503,30,26.66,239,720,480,1404,0.4032,0.0614,0.9586,0.9444,zoom,0.4461,0.7352,-0.3636,178.0776,17.7893,v3.0,8,1e-05,202,1.928827,2.43376,0.041428,2.272255,4.56,2.55,0.6383,0.5863,0.6745,0.347,train,0.6016,0,low
2,A detailed ocean view during storm,architecture,watercolor,professional,neutral,9:16,36,33,0.2626,-0.8207,0.9923,0.3241,512,768,3,8,0.2348,0.4017,0.2977,0.9144,0.4181,0.9059,0.6701,0.2455,0.4006,0.2645,0.7175,140.5911,1.4793,0.627,47.2124,8.0431,12.0494,28,12.251,775586,60,14.06,1434,720,480,3820,0.6633,0.5291,0.5452,0.8979,cut,0.666,0.1393,-0.7966,167.8257,21.035,v2.1,4,0.0005,123,0.709194,0.81764,0.490172,0.117788,3.51,3.24,0.3996,0.7333,0.9827,0.3043,train,0.563,0,low
3,An amazing old castle in blue hour,food,cartoon,professional,dark,4:3,47,7,0.6955,-0.7099,0.9231,0.7027,768,512,3,32,0.1259,0.4081,0.4911,0.3912,0.6114,0.3053,0.3249,0.362,0.9944,0.5069,0.4304,10.7672,8.5057,0.7176,40.5971,2.4326,18.5852,59,6.9821,90679,24,17.3,397,1080,480,903,0.2964,0.7861,0.8938,0.4072,pan,0.4802,0.271,-0.8874,25.1009,45.9953,v1.5,16,1e-05,458,1.244864,0.597149,0.349598,1.594526,4.06,3.65,0.1797,0.8388,0.3535,0.7625,test,0.6305,0,low
4,An amazing urban street at dawn,nature,cinematic,professional,warm,3:2,28,34,0.659,0.6944,0.9332,0.7369,1024,512,3,8,0.0295,0.8408,0.5608,0.3933,0.5724,0.3233,0.5202,0.4047,0.4672,0.4972,0.4813,164.4743,7.8369,0.9893,42.2268,17.9223,18.1723,80,2.7049,49487,12,22.81,139,1080,480,5472,0.4024,0.037,0.7371,0.8908,wipe,0.9179,0.4297,-0.8629,113.3527,16.2804,v2.0,4,0.001,213,0.160203,1.221822,1.475714,1.650447,4.47,4.94,0.4451,0.6562,0.2176,0.6315,test,0.593,0,low
5,A beautiful mountain landscape in morning light,technology,digital_art,ultra,neutral,21:9,134,35,0.8667,-0.5954,0.9212,0.3491,1024,1280,3,8,0.3524,0.4155,0.2011,0.3705,0.6832,0.6671,0.5202,0.3322,0.487,0.7152,0.5366,184.2108,1.4383,0.6396,33.0495,28.7016,11.1062,66,6.1526,985910,30,44.93,1412,480,720,6870,0.7536,0.5741,0.7477,0.8643,dissolve,0.5291,0.4562,0.5343,77.8392,5.0712,v1.0,2,1e-05,201,0.277754,0.596474,1.084965,1.16968,1.11,4.25,0.3955,0.9442,0.4008,0.8205,train,0.8059,1,high
6,A detailed ocean view in blue hour,fashion,photorealistic,professional,warm,4:3,143,31,0.3299,0.4533,0.9309,0.9853,1024,512,3,8,0.1975,0.3315,0.4047,0.6043,0.3464,0.323,0.525,0.7602,0.9784,0.7439,0.5189,117.7455,4.4271,0.7843,32.6189,28.6589,8.1601,81,11.6704,450763,30,23.25,1112,1080,720,1061,0.1065,0.9566,0.5147,0.9805,dissolve,0.6025,0.5938,-0.4054,246.3025,25.411,v2.1,1,1e-05,447,0.882917,1.56507,0.096069,1.100835,4.54,4.81,0.4369,0.6813,0.9082,0.6546,train,0.6589,0,medium
7,A colorful mountain landscape in blue hour,abstract,modern,high,vibrant,21:9,23,10,0.1247,-0.5484,0.9076,0.3558,512,768,3,16,0.3699,0.8979,0.394,0.3188,0.5176,0.358,0.6964,0.7278,0.5363,0.6064,0.7535,88.1268,4.1134,0.8961,30.4686,27.9649,23.3743,72,13.3826,441280,30,4.17,1401,720,480,6237,0.1969,0.3244,0.6582,0.7125,pan,0.4326,0.9699,0.9595,67.3184,27.599,v3.0,2,0.001,483,0.833385,0.666522,0.00807,0.528148,2.06,3.18,0.1972,0.7688,0.8315,0.3722,train,0.6655,0,medium
8,A detailed futuristic city in blue hour,technology,modern,low,vibrant,16:9,167,33,0.9227,-0.8237,0.9498,0.8456,1920,768,3,32,0.1196,0.9537,0.5743,0.3324,0.969,0.2818,0.353,0.9722,0.5775,0.376,0.8016,82.5973,9.3998,0.6663,32.6421,8.5201,11.402,93,3.5719,908798,30,47.14,128,720,480,1927,0.82,0.2134,0.6561,0.7311,cut,0.9252,0.3127,0.7707,27.9232,19.0784,v1.5,8,1e-05,176,0.025235,0.686721,0.854295,0.783726,4.73,4.63,0.0845,0.7378,0.4559,0.8376,train,0.6765,0,medium
9,A dramatic ocean view in golden hour,food,watercolor,ultra,cool,16:9,188,13,0.9178,0.8001,0.7304,0.3633,1280,1024,3,8,0.2364,0.9904,0.2049,0.9933,0.416,0.0765,0.3979,0.7201,0.7611,0.9112,0.4756,172.2448,7.1888,0.8326,37.3297,16.2116,17.2287,17,17.9417,367984,24,59.63,1060,480,1080,8566,0.7873,0.9008,0.7069,0.7727,fade,0.5953,0.5,1.0,266.5223,10.7402,v1.5,2,0.0001,148,0.455591,0.128102,1.437482,1.150851,3.37,3.5,0.9818,0.8478,0.7979,0.471,train,0.705,1,medium
10,A colorful desert dunes at sunset,nature,modern,low,pastel,21:9,55,24,0.5103,0.8033,0.9696,0.4719,1280,1080,4,8,0.1773,0.5559,0.5145,0.5177,0.4943,0.4427,0.7383,0.6175,0.6409,0.31,0.923,130.7899,5.1154,0.9787,25.6835,1.7492,19.1161,54,14.223,492077,30,10.45,781,1080,480,9779,0.2246,0.0626,0.703,0.624,fade,0.7376,0.5564,-0.933,87.7432,25.7374,v3.0,8,0.001,145,0.19695,1.892866,0.329214,2.275289,1.71,4.44,0.0515,0.8721,0.9455,0.762,train,0.7039,1,medium
